sample,fastq_1,fastq_2,condition
SRX7172569,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172569_SRR10482826_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172569_SRR10482826_2.fastq.gz,tolerant
SRX7172570,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172570_SRR10482825_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172570_SRR10482825_2.fastq.gz,tolerant
SRX7172571,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172571_SRR10482824_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172571_SRR10482824_2.fastq.gz,tolerant
SRX7172572,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172572_SRR10482823_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172572_SRR10482823_2.fastq.gz,tolerant
SRX7172573,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172573_SRR10482822_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172573_SRR10482822_2.fastq.gz,sensitive
SRX7172574,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172574_SRR10482821_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172574_SRR10482821_2.fastq.gz,tolerant
SRX7172575,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172575_SRR10482820_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172575_SRR10482820_2.fastq.gz,tolerant
SRX7172576,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172576_SRR10482819_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172576_SRR10482819_2.fastq.gz,tolerant
SRX7172577,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172577_SRR10482818_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172577_SRR10482818_2.fastq.gz,tolerant
SRX7172578,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172578_SRR10482817_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172578_SRR10482817_2.fastq.gz,tolerant
SRX7172579,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172579_SRR10482816_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172579_SRR10482816_2.fastq.gz,tolerant
SRX7656957,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7656957_SRR10995912.fastq.gz,,tolerant
SRX7656958,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7656958_SRR10995911.fastq.gz,,tolerant
SRX7656959,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7656959_SRR10995910.fastq.gz,,tolerant
SRX7656960,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7656960_SRR10995909.fastq.gz,,tolerant
SRX7656961,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7656961_SRR10995908.fastq.gz,,tolerant
SRX7656962,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7656962_SRR10995907.fastq.gz,,sensitive
SRX7656963,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7656963_SRR10995906.fastq.gz,,sensitive
SRX7656964,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7656964_SRR10995905.fastq.gz,,sensitive
SRX7656965,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7656965_SRR10995904.fastq.gz,,sensitive
SRX7656966,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7656966_SRR10995903.fastq.gz,,sensitive
SRX7656967,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7656967_SRR10995902.fastq.gz,,sensitive
SRX7656968,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7656968_SRR10995901.fastq.gz,,sensitive
SRX7656969,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7656969_SRR10995900.fastq.gz,,tolerant
SRX7656970,s3://steveyost-seqera/Cvirg_Pmarinus/fetchngs/fastq/SRX7656970_SRR10995899.fastq.gz,,tolerant
