"sample","fastq_1","fastq_2","strandedness"
"SRX18040013","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040013_SRR22059179_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040013_SRR22059179_2.fastq.gz","auto"
"SRX18040014","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040014_SRR22059178_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040014_SRR22059178_2.fastq.gz","auto"
"SRX18040015","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040015_SRR22059177_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040015_SRR22059177_2.fastq.gz","auto"
"SRX18040016","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040016_SRR22059176_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040016_SRR22059176_2.fastq.gz","auto"
"SRX18040017","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040017_SRR22059175_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040017_SRR22059175_2.fastq.gz","auto"
"SRX18040018","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040018_SRR22059174_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040018_SRR22059174_2.fastq.gz","auto"
"SRX18040019","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040019_SRR22059173_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040019_SRR22059173_2.fastq.gz","auto"
"SRX18040020","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040020_SRR22059172_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040020_SRR22059172_2.fastq.gz","auto"
"SRX18040021","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040021_SRR22059171_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040021_SRR22059171_2.fastq.gz","auto"
"SRX18040022","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040022_SRR22059170_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040022_SRR22059170_2.fastq.gz","auto"
"SRX18040023","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040023_SRR22059169_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040023_SRR22059169_2.fastq.gz","auto"
"SRX18040024","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040024_SRR22059168_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040024_SRR22059168_2.fastq.gz","auto"
"SRX18040025","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040025_SRR22059165_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040025_SRR22059165_2.fastq.gz","auto"
"SRX18040026","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040026_SRR22059164_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040026_SRR22059164_2.fastq.gz","auto"
"SRX18040027","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040027_SRR22059163_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040027_SRR22059163_2.fastq.gz","auto"
"SRX18040028","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040028_SRR22059161_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040028_SRR22059161_2.fastq.gz","auto"
"SRX18040029","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040029_SRR22059160_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040029_SRR22059160_2.fastq.gz","auto"
"SRX18040030","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040030_SRR22059159_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040030_SRR22059159_2.fastq.gz","auto"
"SRX18040031","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040031_SRR22059162_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040031_SRR22059162_2.fastq.gz","auto"
"SRX18040032","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040032_SRR22059158_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040032_SRR22059158_2.fastq.gz","auto"
"SRX18040033","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040033_SRR22059157_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040033_SRR22059157_2.fastq.gz","auto"
"SRX18040034","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040034_SRR22059156_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040034_SRR22059156_2.fastq.gz","auto"
"SRX18040035","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040035_SRR22059155_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040035_SRR22059155_2.fastq.gz","auto"
"SRX18040036","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040036_SRR22059153_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040036_SRR22059153_2.fastq.gz","auto"
"SRX18040037","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040037_SRR22059152_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040037_SRR22059152_2.fastq.gz","auto"
