Row.names,logFC,logCPM,LR,PValue,FDR,Protein.Name
gene35701,-0.173529558,3.798083035,0.026261459,0.871263427,0.993795637,solute carrier family 28 member 3-like
gene35703,1.900252042,2.812407088,5.872269997,0.015381206,0.537678146,uncharacterized protein LOC111115734
gene35705,-0.412883508,2.6708856,0.097685232,0.754625331,0.987968907,"3-ketoacyl-CoA thiolase A, peroxisomal-like"
gene35709,0.98427142,4.517881962,2.370226643,0.123669096,0.856159333,"3-ketoacyl-CoA thiolase A, peroxisomal-like isoform X1"
gene35713,1.004746269,3.674893539,1.518789451,0.217802777,0.911328652,solute carrier family 28 member 3-like isoform X1
gene35718,-1.022400264,2.490890984,1.186510538,0.276034554,0.928733489,uncharacterized protein LOC111115746
gene35719,1.67391324,4.092849037,4.949643079,0.026096055,0.62770912,uncharacterized protein LOC111115732
gene35725,-0.36523292,6.562529957,0.901721657,0.342320491,0.932260097,tripartite motif-containing protein 45-like
gene35728,-0.806724178,5.114416469,1.421368897,0.233178221,0.916331732,uncharacterized protein LOC111114802 isoform X1
gene35730,-1.076367592,5.815264119,2.701157816,0.100275402,0.828376471,uncharacterized protein LOC111114803 isoform X1
gene35732,-0.528727676,4.797819653,0.594447386,0.440704477,0.953854878,uncharacterized protein LOC111114804
gene35737,-1.467130379,4.349581536,3.273494629,0.070407493,0.783350818,uncharacterized protein LOC111114492 isoform X1
gene35740,0.25697183,4.94278277,0.064011483,0.800264422,0.990432833,uncharacterized protein LOC111111997
gene35741,0.490364824,2.866675369,0.181549948,0.67004461,0.98354685,uncharacterized protein LOC111113999
gene35742,0.016335447,3.510398804,0.000505735,0.982058237,0.99874498,uncharacterized protein LOC111112647
gene35745,-1.475702508,2.712531876,2.09282619,0.147992073,0.876049419,uncharacterized protein LOC111112648
gene35746,-0.423704376,6.383238794,0.488649281,0.484530449,0.959086507,uncharacterized protein LOC111114000
gene35747,0.273730425,7.004713921,0.732700873,0.392009129,0.941104349,uncharacterized protein LOC111111297 isoform X1
gene35749,-0.707297227,3.660072617,0.250555868,0.616683945,0.978656963,uncharacterized protein LOC111115366
gene35752,-0.148910705,5.808403306,0.256053163,0.612844744,0.978656963,ATP-dependent RNA helicase DDX42-like
gene35753,-1.032624844,2.823454163,1.932579701,0.164476489,0.886392475,uncharacterized protein LOC111112988
gene35754,-0.638166459,6.180213436,5.496533901,0.019054205,0.57115797,zinc finger CCCH domain-containing protein 10-like
gene35756,0.318325034,4.635564923,0.098173787,0.754032266,0.987968907,soluble guanylate cyclase 89Da-like
gene35759,-0.823563839,4.522639293,0.856051773,0.354845939,0.932260097,LOW QUALITY PROTEIN: cullin-2-like
gene3576,-0.542941632,3.233835539,0.485706451,0.485848835,0.959339323,cholecystokinin receptor type A-like
gene35760,-0.278366474,2.83265715,0.113766799,0.735895778,0.986958968,uncharacterized protein LOC111114540
gene35761,0.635335414,6.033387918,0.629084657,0.427691267,0.951191006,cullin-2-like
gene35762,0.889132499,2.590180428,0.742449154,0.388877455,0.940408307,uncharacterized protein LOC111114542
gene35763,-0.140709656,7.268299715,0.177804094,0.673267199,0.98354685,sperm-associated antigen 1-like
gene3577,-0.041018698,5.116984186,0.007830309,0.929487999,0.993795637,LOW QUALITY PROTEIN: zinc metalloproteinase nas-37-like
gene35774,-0.633330294,6.927324229,3.014342556,0.082530915,0.810392242,rho-related GTP-binding protein RhoE-like
gene35775,-1.035652345,4.025214942,1.807306412,0.178831689,0.893782014,"beta-1,4-galactosyltransferase galt-1-like"
gene35776,1.448618481,4.007693722,10.36420353,0.001284823,0.251753162,WW domain-binding protein 1-like
gene35778,1.367274255,3.934789133,6.765853201,0.009291849,0.47519224,uncharacterized protein LOC111114549
gene35780,-1.433971231,3.626908199,1.973000912,0.160129692,0.884593411,uncharacterized protein LOC111114969
gene35782,0.526286202,5.159665941,0.406639238,0.523680243,0.967149921,uncharacterized protein LOC111113350
gene35783,-0.910830898,2.737091107,0.708237374,0.400029583,0.944652119,uncharacterized protein LOC111113349 isoform X1
gene3579,0.030438225,4.373294062,0.003835165,0.950619608,0.997184316,"hydroxymethylglutaryl-CoA lyase, mitochondrial-like"
gene35795,-0.593330994,2.93876471,0.28577898,0.592938244,0.978656963,uncharacterized protein LOC111112887 isoform X1
gene35798,1.250104617,2.970863835,0.911269423,0.339777828,0.932260097,uncharacterized protein LOC111115644
gene358,-0.340429566,4.775403356,0.742537512,0.388849233,0.940408307,zinc finger protein 177-like
gene3580,0.221836188,7.452876436,0.710502271,0.399277121,0.944478449,methenyltetrahydrofolate synthase domain-containing protein-like
gene35801,-1.389540616,3.354151529,3.234490834,0.072102713,0.785144509,uncharacterized protein LOC111111521
gene35802,-0.943150921,7.693254017,1.932547898,0.164479961,0.886392475,excitatory amino acid transporter 3-like isoform X1
gene35813,-1.500125741,3.303897049,3.203340379,0.073488031,0.786945948,tripartite motif-containing protein 45-like
gene35815,-0.264100401,4.914972681,0.243313521,0.621823092,0.979554479,tolloid-like protein 2
gene35819,-0.27178002,5.406939134,0.1374408,0.710838576,0.985947183,uncharacterized protein LOC111113291 isoform X1
gene3582,-0.220003815,10.58465041,0.576619955,0.447640249,0.956091449,60S ribosomal protein L11-like
gene35820,1.142691475,3.739091594,2.744273209,0.097603447,0.825167704,integrin alpha-6-like isoform X1
gene35821,0.071309112,5.594253937,0.038540633,0.844361521,0.992241237,biogenesis of lysosome-related organelles complex 1 subunit 1-like
gene35824,0.409073894,2.815759178,0.193085463,0.660360925,0.982369733,zinc finger protein 878-like
gene35825,-0.927848807,7.675924874,3.85912953,0.049475991,0.732911251,mucin-16-like
gene35827,-0.047359909,4.485410189,0.015074911,0.902281369,0.993795637,sorting nexin-13-like isoform X1
gene3583,-0.207273733,7.539884152,0.413845714,0.520023999,0.965262428,dynein regulatory complex protein 1-like
gene35834,-1.612083111,2.782002017,1.71497953,0.190340574,0.898420206,glycylpeptide N-tetradecanoyltransferase 2-like
