LOC_ID,Gene_description,Canonical_XP,N_studies,DS1_identified,DS1_n_comparisons,DS1_comparisons,DS2_identified,DS2_n_comparisons,DS2_comparisons,DS3_identified,DS3_n_comparisons,DS3_comparisons,DS4_identified,DS4_n_comparisons,DS4_comparisons,DS5_identified,DS5_n_comparisons,DS5_comparisons
LOC111104208,uncharacterized protein LOC111104208 isoform X1,XP_022293751.1,2,Yes,2,fam90_vs_fam120; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111104238,toll-like receptor 6,XP_022293788.1,2,Yes,1,fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111104349,uncharacterized protein LOC111104349 isoform X2,XP_022293955.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111104370,uncharacterized protein LOC111104370,XP_022293986.1,2,Yes,1,fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111104421,sine oculis-binding protein homolog isoform X1,XP_022294062.1,2,Yes,1,fam90_vs_fam89,No,0,,No,0,,Yes,1,36h_fed_vs_inj,No,0,
LOC111104467,uncharacterized protein LOC111104467 isoform X1,XP_022294151.1,2,Yes,1,fam90_vs_fam84,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111104612,uncharacterized protein LOC111104612,XP_022294346.1,2,No,0,,No,0,,Yes,1,Cv_Pmarinus_infection,Yes,1,7d_fed_vs_inj,No,0,
LOC111104674,uncharacterized protein LOC111104674 isoform X2,XP_022294450.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111104797,basic salivary proline-rich protein 2-like,XP_022294643.1,2,No,0,,No,0,,Yes,1,Cv_Pmarinus_infection,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111104835,centaurin-gamma-1A-like isoform X9,XP_022294696.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,28d_fed_vs_inj,No,0,
LOC111104912,caspase-8-like,XP_022294791.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111105157,baculoviral IAP repeat-containing protein 3-like,XP_022295036.1,2,Yes,1,fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111105259,techylectin-5B-like isoform X1,XP_022295146.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111105260,ryncolin-1-like,XP_022295148.1,2,Yes,2,fam90_vs_fam120; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111105272,uncharacterized protein LOC111105272,XP_022295162.1,2,Yes,1,fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111105311,complement C1q-like protein 3,XP_022295233.1,2,Yes,1,fam90_vs_fam84,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
