gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	source_file
LOC111118031	55.2147965	-1.167304	0.77478717	0.000389814	0.0236966969	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111118031	58.5095535	-1.136084	0.59218115	0.000345484	0.01171496	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111118129	80.80859958	-1.268213	0.54664938	0.0001584048	0.0145816511	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111118129	88.96674916	-1.267513	0.37352295	2.346854e-05	0.001689491	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111118185	222.32790826	-1.305647	0.37813419	2.148724e-05	0.0050675562	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111118185	220.65604775	-1.350767	0.28064459	1.343924e-07	5.212635e-05	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111118218	93.51230976	-1.227846	0.49381705	0.0001377612	0.0133919311	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111118218	132.43586431	-1.101002	0.36608327	8.409418e-05	0.004314901	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111118226	31.67284428	-1.536955	0.63825077	5.843045e-05	0.0083403918	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111118226	35.14630403	-1.496509	0.46259272	1.247561e-05	0.001062569	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111118797	369.47588647	-1.254831	0.42409832	6.111778e-05	0.0086115636	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111118797	357.20144722	-1.367043	0.32368513	1.46723e-06	0.0002319174	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111118871	93.39307633	-1.238369	0.36603703	2.781621e-05	0.0058629809	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111118871	88.10234934	-1.156231	0.29639858	8.528442e-06	0.0008019906	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111119016	100.97460843	-1.286181	0.34182783	8.706457e-06	0.0008126883	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111119016	107.31535622	-1.140252	0.53920068	0.0002800826	0.019739366	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111119297	446.00409864	-1.208915	0.31497648	8.940098e-06	0.0008283836	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111119297	457.34548412	-1.145814	0.47679319	0.0001821645	0.0153442548	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111119770	443.92462617	-1.170209	0.32652039	1.98174e-05	0.001474414	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111119770	467.61584651	-1.235089	0.45828794	9.84894e-05	0.0108065383	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111119808	69.05829881	-1.292086	0.32584429	4.674575e-06	0.0005096899	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111119808	51.65148948	-1.115369	0.49055323	0.0002336465	0.0181327899	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111119832	59.96520927	-1.293016	0.4516614	6.700696e-05	0.0089952851	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111119832	45.44241729	-1.135323	0.4498833	0.0001773622	0.007367082	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111119867	165.11759423	-1.092248	0.54083102	0.0003524314	0.0222643841	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111119867	176.56993665	-1.023384	0.38828519	0.0001985648	0.007932254	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111120088	105.07579694	-1.324762	0.33040702	5.083354e-06	0.0029432763	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111120088	117.05531411	-1.412846	0.26139378	5.179174e-09	8.896895e-06	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
